,Pressures,P_prime,P_star,WIDTH_sub,HEIGHT_sub,WIDTH_mem,THICKNESS_mem,WIDTH_device,HEIGHT_chamber,HEIGHT_device,Stalk_angle,mem_layer,Negative Pressure Adh Force,Pos Pressure Adh Force,Neutral Pressure Adh Force,switching_ratio
210,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.4598557147,2.9309660254,15,8.2795759007,12.637939288,-6.3786616434,10,4.8586363792,2.3368957043,4.5713124275,2.0790985111
211,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.3872641286,2.1836273907,15,5.8281634404,11.9790497558,-20.9885760872,10,4.9623765945,2.2185413837,4.67355299,2.2367744099
212,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.1719411646,0.1065238115,15,6.483585594,13.4653134789,34.223026649,10,4.2997980118,1.754575491,4.0373039246,2.4506201266
213,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.6283505867,1.8780486989,15,9.0233508073,11.554890428,-5.7860928774,10,4.5300898552,1.6353228092,3.9726662636,2.7701502295
214,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.0077309823,0.1632176892,15,8.6543389076,13.7354430028,-19.2402630755,10,5.0152525902,1.9396620989,4.8218054771,2.5856321021
215,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,5.5751747183,1.4450450754,15,9.1197728962,14.0948316404,-26.1242625388,10,5.00111866,1.9693924189,4.6704111099,2.5394221142
216,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.5087990702,1.648310849,15,5.475824843,11.7107276436,19.5908465613,10,4.3791842461,1.6444392204,3.778570652,2.6630259067
217,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.2196443753,0.6104272502,15,6.9430404271,13.9211166093,34.2879850008,10,3.532366991,0.6492430568,2.8049998283,5.4407466575
218,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,9.5796636871,2.7452331219,15,4.7631785726,13.6516927916,-21.1309429725,10,1.5420387983,1.2111614943,3.2126147747,1.2731900788
219,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,7.307010186,2.1422850465,15,7.9448727281,13.371981399,-36.8696821425,10,4.7642383575,1.5247371197,4.0875039101,3.1246293516
220,"[-0.005, 0.005, 0]",-0.004,-0.004,30,1,4.8288879136,0.4331666604,15,7.8405227942,11.6373380045,-6.0210914552,10,4.9493713379,2.1678593159,4.805606842,2.2830685099
